Listing ID,Listing Name,Listing Sync,Show Listing,Listing Status,PMS Name,Base Price,Recommended Base Price,Min Price,Max Price,Bedroom Count,City,Customization Group,Customization Sub Group,Tags,Total Occupancy ( Next 60 Days ),Total Occupancy ( Next 90 Days ),Nights Booked ( Past 7 Days ),Nights Booked ( Past 15 Days )
84251,Dylan Robinson 3115 (KCity) -- 1940's Bungalow near Downtown & UT Campus,TRUE,TRUE,available,hostaway,129,Unavailable,89,,3,Knoxville,Knox All listing,Knox 3-4BR,"EasyBNBAmanda,Group 2,HA2,KCity,Safely,Summer,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Group 1,HA3,Kyle,NotKnox,Knox,3BDR,9Guest,Key; vrbo:2298662; airbnb:1593573554661842805",45 %,30 %,3,11
84252,Kirk Kelso 116-102 (KCity) -- Modern Downtown Loft - 1 mile to UT,TRUE,TRUE,available,hostaway,140,Unavailable,85,,1,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 2,HA2,KCity,Regina,Safely,KnoxStaytion,Group 3,SCounty,1-2BR Cabin,3-4BR,Kyle,NotKnox,Knox,1BDR,6Guest,Junior; vrbo:2298663; airbnb:38405093",20 %,13 %,7,11
84254,Dylan Robinson 116-106 (KCity) -- Modern Loft w/ View,TRUE,TRUE,available,hostaway,185,179.0,100,,2,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 2,HA2,KCity,Safely,Summer,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Group 1,Kyle,NotKnox,Knox,2BDR,7Guest,Key; vrbo:2298665; airbnb:16546834",23 %,16 %,9,17
84255,Brad Johnson 116-207 (KCity) -- Sunny Sterchi Loft w/ view,TRUE,TRUE,available,hostaway,265,257.0,124,,3,Knoxville,Knox All listing,Knox 3-4BR,"EasyBNBAmanda,Group 3,HA2,KCity,Regina,Safely,KnoxStaytion,3-4BR,SCounty,1-2BR Cabin,Group 2,Kyle,NotKnox,Knox,3BDR,8Guest,Normal; vrbo:2298666; airbnb:38291398",30 %,20 %,0,4
84257,Dylan Robinson 116-204 (KCity) -- Sunny Loft w/ View of Gay St,TRUE,TRUE,available,hostaway,155,Unavailable,95,,1,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 2,HA2,KCity,Safely,Summer,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Group 1,Kyle,NotKnox,Knox,1BDR,6Guest,Key; vrbo:2298668; airbnb:36975992",10 %,7 %,3,10
84259,Spike & Nadim 507 (KCity) -- Historic 1900's Townhome with a Modern Flair,TRUE,TRUE,available,hostaway,270,Unavailable,134,,4,Knoxville,Knox All listing,Knox 3-4BR,"EasyBNBAmanda,Group 1,HA2,KCity,Regina,Safely,KnoxStaytion,3-4BR,SCounty,1-2BR Cabin,Group 2,Kyle,NotKnox,Knox,4BDR,9Guest,Key; vrbo:2298671; airbnb:48444452",58 %,50 %,0,14
84261,Sandra Hill 116-101 (KCity) -- Cozy Downtown Loft,TRUE,TRUE,available,hostaway,165,149.0,90,,1,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 3,HA2,KCity,Regina,Safely,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Kyle,NotKnox,Knox,1BDR,6Guest,Junior; vrbo:2298673; airbnb:40704073",13 %,9 %,0,4
84290,Michael Rohwer 2455 (SCounty) -- Cabin in the Woods w/ Hot Tub,TRUE,TRUE,available,hostaway,145,141.0,90,,2,Sevierville,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 3,HA1,Junior,Katie,NotKnox,Safely,SCounty,3-4BR,Kyle,PF,1BDR,4guest,Hottub,Pooltable,OB 4/28/21; vrbo:2334082; airbnb:49444164",57 %,38 %,4,4
84743,"Heidi Schelton 247 (BC) · The Woodstock - Hot Tub, Fire Pit, Arcade & Grill -- The Woodstock - Hot Tub, Fire Pit, Arcade & Grill",FALSE,TRUE,hidden,hostaway,295,Unavailable,159,,5,Townsend,,,"Townsend,5BDR,14guest,hottub,OB6/11/21,Normal,Low 3-4BR",100 %,100 %,0,0
85745,David Holland 1645 (SCounty) -- Romantic Mountain Shanty - Hot Tub & Fireplace,TRUE,TRUE,available,hostaway,130,Unavailable,85,,1,Sevierville,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 3,HA1,Katie,NotKnox,Safely,SCounty,Summer,3-4BR,Blake,PF,1BDR,2Guest,hottub,OB6/10/21,Junior; vrbo:2416836; airbnb:50258612",53 %,38 %,8,16
86231,Philip Graves 527 (PF) -- BRAND NEW! Bearly Out of Bounds w/ Fire Pit,TRUE,TRUE,available,hostaway,160,Unavailable,90,,2,Pigeon Forge,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 2,HA1,Katie,NORMAL,NotKnox,PF,Safely,SCounty,3-4BR,Andrew,2BDR,4guest,OB6/22/21,Normal; vrbo:2416838; airbnb:50488573",72 %,52 %,4,4
86393,"Leigh Anne Chong 2021 (SCounty) -- Peaks of Blue - View, Hot Tub, Theater Room!",TRUE,TRUE,available,hostaway,260,256.0,105,,3,Sevierville,1-4BR Cabins / House,3-4 Bedrooms,"Group 2,HA1,NotKnox,Safely,SCounty,Summer,TendwellCleaning,BlessedCleaningTyler,3-4BR,1-2BR Cabin,PF,3BDR,10guest,theatre,gameroom,hottub,OB6/24/21,Normal,Low 3-4BR; vrbo:2397792; airbnb:831938837413472455",67 %,58 %,0,3
89008,"Brad Spurgin 1410 (SCounty) -- Papa Bear - Private w/ Hot Tub, Pool Table, & View",TRUE,TRUE,available,hostaway,150,146.0,85,,2,Sevierville,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 3,HA1,Pet,Regina,Safely,SCounty,3-4BR,NotKnox,Summer,PF,2BDR,6Guest,hottub,OB8/24/21,Junior; vrbo:2541705; airbnb:51750147",67 %,46 %,0,0
90024,"Donnie Rath 748 (PF) -- Stairway to Heaven - Hot Tub, Pool, Prime Location!",TRUE,TRUE,available,hostaway,145,150.0,80,,1,Pigeon Forge,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 2,HA1,Junior,Katie,NotKnox,Pet,Safely,SCounty,3-4BR,Blake,Group 3,Kyle,PF,1BDR,4Guest,Hottub,OB9/15/21,Community Pool,Community GameRoom; vrbo:2541706; airbnb:52258916",58 %,39 %,11,14
90093,Leo Shum 4150 (SCounty) -- Copper Top - Stunning Views,TRUE,TRUE,available,hostaway,155,162.0,100,,4,Sevierville,1-4BR Cabins / House,3-4 Bedrooms,"BlessedCleaningTyler,Group 1,HA1,NotKnox,Safely,SCounty,Summer,3-4BR,1-2BR Cabin,Andrew,Townsend,4BDR,14guest,hottub,indoor pool,View,Theater,OB-9/17/21,gameroom,Top,Low 3-4BR; vrbo:2590827",48 %,38 %,9,16
90258,"Wah Shum 4160 (SCounty) -- Million Dollar View - Hot Tub, and Sauna!",TRUE,TRUE,available,hostaway,275,263.0,105,,4,Sevierville,1-4BR Cabins / House,3-4 Bedrooms,"BlessedCleaningTyler,Group 1,HA1,NotKnox,Safely,SCounty,Summer,3-4BR,1-2BR Cabin,Andrew,Townsend,4BDR,14 Guest,Hottub,Indoor Pool,Gameroom,Theatre,Sauna,OB 9/22/21,Top,Low 3-4BR; vrbo:2590828; airbnb:1272477338264615269",95 %,78 %,0,6
90666,"Stephen Su 641 (SCounty) -- Sweet Dreams - Romantic, Hot Tub",TRUE,TRUE,available,hostaway,130,Unavailable,85,,1,Sevierville,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 2,HA1,NotKnox,Safely,SCounty,Summer,Lily,3-4BR,PF,1BDR,2Guest,Pool Table,hottub,OB10/1/21,Normal; vrbo:2507870; airbnb:640684599621098935",55 %,37 %,0,5
90930,"Stephen Su 637 (SCounty) -- Peekaboo - Hot Tub, Pool Table, and Jacuzzi!",TRUE,TRUE,available,hostaway,155,156.0,90,,1,Sevierville,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 2,HA1,NotKnox,Safely,SCounty,Summer,Lily,3-4BR,PF,1BDR,2Guest,Pool Table,hottub,OB10/1/21,Normal; vrbo:2507871; airbnb:52626784",55 %,37 %,4,9
91281,Lisa Collier 333 (BC) -- Beary Relaxing Cabin - Rustic w/ Outdoor Patio!,TRUE,TRUE,available,hostaway,100,99.0,75,,2,Townsend,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BC,BlessedCleaningTyler,Group 3,HA1,Junior,Katie,NotKnox,Safely,SCounty,3-4BR,Andrew,Group 1,HA3,Townsend,2BDR,4guest,OB10/15/21,Key; vrbo:2544118",38 %,32 %,9,17
92158,Ashley May 2935 (SCounty) -- Endless Mountain Views - Hot Tub & Fireplace!,TRUE,TRUE,available,hostaway,330,322.0,119,,5,Sevierville,5-6 Bedrooms,,"5-6BR,BlessedCleaningTyler,Group 1,HA1,NotKnox,Safely,SCounty,Summer,1-2BR Cabin,3-4BR,WearsValley,5BDR,14Guest,gameroom,views,OB 11/1/21,Key; vrbo:2575184; airbnb:1118069037040344018",55 %,37 %,13,13
92981,"Mike Martin 2939 (SCounty) -- Crestview Retreat - Mountain View, Fire Pit, Grill",TRUE,TRUE,available,hostaway,130,Unavailable,85,,3,Sevierville,1-4BR Cabins / House,3-4 Bedrooms,"BlessedCleaningTyler,Group 3,HA1,Junior,Katie,NotKnox,Safely,SCounty,3-4BR,1-2BR Cabin,PF,3BDR,7Guest,OB11/10/21,Low 3-4BR; vrbo:2593347; airbnb:658598671549174856",60 %,40 %,17,21
93319,"Brian Hopp 649 (GAT) -- City Hideaway - Hot Tub, Fireplace, Grill",TRUE,TRUE,available,hostaway,200,Unavailable,105,,4,Gatlinburg,1-4BR Cabins / House,3-4 Bedrooms,"BlessedCleaningTyler,GAT,Group 3,Katie,NotKnox,Pet,Safely,3-4BR,SCounty,HA3,1-2BR Cabin,Group 2,Kyle,14Guest,OB11/16/21,hottub,4BDR,Normal,Low 3-4BR; vrbo:2585150; airbnb:975955749551154782",68 %,49 %,0,0
93532,Brian Hopp 7646 (BC) -- Evergreen Getaway - Fire Pit and Wood Fireplace!,TRUE,TRUE,available,hostaway,140,Unavailable,90,,3,Townsend,1-4BR Cabins / House,3-4 Bedrooms,"BC,Group 2,HA1,Junior,Katie,NotKnox,Pet,TendwellCleaning,BlessedCleaningTyler,3-4BR,SCounty,HA3,1-2BR Cabin,Kyle,Townsend,3BDR,6Guest,OB 11/18/21,Normal,High 3-4BR; vrbo:2568808; airbnb:53359277",43 %,32 %,11,16
94054,"Kirk Kumagai 1012 (SCounty) -- Constellation Station - View, Hot Tub, Fireplace!",TRUE,TRUE,available,hostaway,180,194.0,95,,1,Gatlinburg,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 2,HA1,NotKnox,Safely,SCounty,Summer,3-4BR,Blake,Gat,1BDR,4guest,hottub,view,OB11/29/21,Normal; vrbo:2771688; airbnb:53573677",95 %,97 %,0,0
94762,"Cheryl Draper 723 (SCounty) -- Sky Ridge - Mt View, WC Accessible, & Swim Spa!",TRUE,TRUE,available,hostaway,350,Unavailable,130,,4,Gatlinburg,1-4BR Cabins / House,3-4 Bedrooms,"BlessedCleaningTyler,Group 1,HA1,NotKnox,Safely,SCounty,Summer,3-4BR,1-2BR Cabin,Gat,4BDR,12Guest,View,hottub,games,Swim_Spa,OB12812,Top,High 3-4BR; vrbo:2590830; airbnb:53658447",87 %,89 %,0,10
95208,Leigh Burch 116-108 (KCity) -- Sterchi Lofts Getaway - Downtown Knoxville,TRUE,TRUE,available,hostaway,165,173.0,85,,1,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 2,HA2,KCity,Regina,Safely,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Kyle,leigh,NotKnox,Knox,1BDR,8Guest,Normal; vrbo:2674088; airbnb:53749198",5 %,3 %,1,5
95211,Karim Boghani 118-4 (KCity) -- Unique Old City Loft - Minutes from Market Square,TRUE,TRUE,available,hostaway,140,155.0,90,,2,Knoxville,Knox All listing,Knox 1-2BR,"EasyBNBAmanda,Group 1,KCity,Regina,Safely,KnoxStaytion,SCounty,HA3,1-2BR Cabin,1-2BR Condo,3-4BR,Group 2,Kyle,NotKnox,Knox,2BDR,8Guest,Normal; vrbo:2606656",15 %,10 %,0,1
95292,Karim Boghani 112-3 (KCity) -- Elegant Old City Loft - Downtown,TRUE,TRUE,available,hostaway,185,Unavailable,100,,3,Knoxville,Knox All listing,Knox 3-4BR,"EasyBNBAmanda,Group 1,KCity,Regina,Safely,KnoxStaytion,3-4BR,SCounty,HA3,1-2BR Cabin,Group 2,Kyle,NotKnox,Knox,3BDR,8Guest,Normal; vrbo:2657807; airbnb:680440772497983955",17 %,11 %,0,2
95305,Karim Boghani 118-2 (KCity) -- Spacious Old City Loft,TRUE,TRUE,available,hostaway,130,130.0,89,,2,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 1,HA2,KCity,Regina,Safely,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Group 2,Kyle,NotKnox,Knox,2BDR,8Guest,Normal; vrbo:2602341; airbnb:640782730184571196",100 %,100 %,0,0
95422,Karim Boghani 118-1 (KCity) -- Modern Old City Loft - Downtown Knoxville,TRUE,TRUE,available,hostaway,150,150.0,89,,1,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 1,HA2,KCity,Regina,Safely,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Group 2,Kyle,NotKnox,Knox,1BDR,6Guest,Normal; vrbo:2602342",100 %,100 %,0,0
95464,Karim Boghani 118-3 (KCity) -- Heart of the Old City - Minutes from Market Square,TRUE,TRUE,available,hostaway,205,212.0,104,,2,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 1,HA2,KCity,Regina,Safely,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Group 2,Kyle,NotKnox,Knox,2BDR,10Guest,Normal; vrbo:2602343; airbnb:641187062249969624",30 %,20 %,0,12
96375,Donnie Riddle 223-203 (BC) -- Abrams Retreat at Cades Cove w/ Mountain Views!,TRUE,TRUE,available,hostaway,130,134.0,119,,2,Townsend,1-4 BR with MINIMUM REQUESTS,,"1-2BR Condo,BC,BlessedCleaningTyler,Group 2,HA1,Junior,Katie,Safely,SCounty,1-2BR Cabin,3-4BR,Blake,Group 3,Kyle,NotKnox,Townsend Condo,Townsend,2BDR,6Guest,Community outdoor pool,OB1/2/22; vrbo:2650094; airbnb:53955810",22 %,14 %,14,29
96720,"Brendan Smith 4386 (SCounty) -- BellaYani-Pet Friendly, Hot Tub, Views, Games",TRUE,TRUE,available,hostaway,210,208.0,110,,3,Sevierville,1-4BR Cabins / House,3-4 Bedrooms,"Group 2,HA1,NotKnox,Pet,Safely,SCounty,Summer,TendwellCleaning,BlessedCleaningTyler,3-4BR,1-2BR Cabin,Wears Valley,3BDR,12 Guest,hottub,jacuzzi,gameroom,OB1/4/22,Normal,Med 3-4BR; vrbo:2632237; airbnb:54067468",62 %,52 %,18,26
100830,"Wayne Flatt 536 (GAT) -- Whisk-A-Way - Hot Tub, Pool Table & Jacuzzi!",TRUE,TRUE,available,hostaway,190,183.0,90,,1,Gatlinburg,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,GAT,Group 3,HA1,Junior,Katie,Safely,SCounty,3-4BR,Blake,Group 2,NotKnox,1BDR,4Guest,hottub,OB2/18/22; vrbo:2677977; airbnb:564519724058404971",68 %,46 %,3,7
101822,"Erin Thrasher 379 (JC) -- The Lookout - Lake View w/Access, Hot Tub & Grill!",TRUE,TRUE,available,hostaway,220,Unavailable,105,,4,Dandridge,1-4 BR with MINIMUM REQUESTS,,"BlessedCleaningTyler,Group 3,HA1,JC,Junior,Safely,Summer,Lily,3-4BR,SCounty,1-2BR Cabin,Blake,NotKnox,Dandridge,4BDR,8guest,view,dock,OB3/1/22; vrbo:2711855; airbnb:572542572513976867",65 %,66 %,2,2
101823,"Sue Landis 410-3002 (PF) -- A View to Remember - Mountain Views, Resort Pools!",TRUE,TRUE,available,hostaway,135,131.0,100,,2,Pigeon Forge,1-4 BR with MINIMUM REQUESTS,,"1-2BR Condo,BlessedCleaningTyler,Group 3,HA1,Junior,Lily,NotKnox,PF,Safely,SCounty,1-2BR Cabin,3-4BR,Summer,2BDR,6Guest,Indoor Community pool,outdoor community pool,community gameroom,Community Fitness Center,OB3/1/22; vrbo:2735263; airbnb:572702808972132577",50 %,33 %,0,5
102072,Leigh Burch 116-103 (KCity) -- Urban Sterchi Lofts - Downtown Knoxville,TRUE,TRUE,available,hostaway,250,Unavailable,110,,2,Knoxville,Knox All listing,Knox 1-2BR,"1-2BR Condo,EasyBNBAmanda,Group 2,HA1,KCity,Regina,Safely,KnoxStaytion,SCounty,1-2BR Cabin,3-4BR,Kyle,leigh,NotKnox,Knox,2BDR,4Guest,OB3/4/22,Normal; vrbo:2733380; airbnb:575263426878532612",10 %,7 %,2,14
104542,Terry Reeves 830 (PF) -- Higher Ground Condo w/ Mountain & Golf View,TRUE,TRUE,available,hostaway,160,164.0,95,,3,Pigeon Forge,1-4BR Cabins / House,3-4 Bedrooms,"Group 3,HA1,Junior,Katie,NotKnox,PF,Safely,TendwellCleaning,BlessedCleaningTyler,3-4BR,SCounty,1-2BR Cabin,Blake,Kyle,Community Indoor/outdoor Pool,Condo,OB3/30/22; vrbo:2818060; airbnb:593994119955883135",100 %,71 %,0,0
105239,Vicki Allbert 410-2003 (PF) -- The Bear Paw Palace - Mtn View & Community Pools!,TRUE,TRUE,available,hostaway,125,125.0,80,,2,Pigeon Forge,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Condo,BlessedCleaningTyler,Group 3,HA1,Junior,Katie,NotKnox,PF,Safely,SCounty,1-2BR Cabin,3-4BR,Blake,Kyle,2BDR,6guest,Community indoor pool,Community outdoor Pool,OB4/5/22; vrbo:2766254; airbnb:598320720257107278",70 %,51 %,0,0
106774,"Stephen Fu 225 (PF) -- Bear Hugs - Hot Tub, 2 Fire Pits, Fireplace!",TRUE,TRUE,available,hostaway,180,Unavailable,95,,2,Pigeon Forge,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,BlessedCleaningTyler,Group 2,HA1,NotKnox,PF,Safely,Summer,Lily,SCounty,3-4BR,Group 1,2bdr,8guest,hottub,Community Pool,OB4/18/22,Normal; vrbo:2818062; airbnb:605602484398867221",82 %,64 %,0,0
107045,"Rob Hart 1141 (SCounty) -- The Hartland - Hot Tub, Jacuzzi, Arcade Game, Fireplace!",TRUE,TRUE,available,hostaway,150,146.0,95,,3,Sevierville,1-4BR Cabins / House,3-4 Bedrooms,"BlessedCleaningTyler,Group 3,HA1,Lily,NotKnox,Safely,SCounty,Summer,3-4BR,1-2BR Cabin,Group 2,PF,McCookville,3BDR,8guest,hottub,OB4/20/22,Junior,Low 3-4BR; vrbo:2818063; airbnb:609235049069628443",70 %,60 %,6,6
109599,Brian Albaum 442 (SCity) -- Fishin' N Wishin'- Pet Friendly + HotTub!,TRUE,TRUE,available,hostaway,140,Unavailable,75,,2,Sevierville,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Cabin,Group 1,HA1,Katie,NotKnox,Pet,Safely,SCity,TendwellCleaning,Summer,OglesCleaningTrenton,SCounty,3-4BR,Group 2,Sevierville,2BDR,5Guest,Hottub,Pond,OB5/11/22,Normal; vrbo:2840379; airbnb:872433458193846020",67 %,50 %,0,6
111312,"Jay Hwang 936 (SCounty) -- Smokies Sunset: MTN Views, Hot Tub, Games & MORE!",TRUE,TRUE,available,hostaway,210,210.0,100,,3,Sevierville,1-4BR Cabins / House,3-4 Bedrooms,"BlessedCleaningTyler,Group 1,HA1,NotKnox,Safely,SCounty,Summer,3-4BR,1-2BR Cabin,PF,3bdr,8guest,hottub,OB5/27/22,Top,Med 3-4BR; vrbo:2863793; airbnb:635390943310998557",100 %,100 %,0,0
111417,Barbara Dorr 229-203 (BC) -- Charming Cades Cove Condo - Community Amenities!,TRUE,TRUE,available,hostaway,140,148.0,85,,2,Townsend,1-4BR Cabins / House,1-2 Bedroom Cabins/Houses/Condos,"1-2BR Condo,BC,BlessedCleaningTyler,Group 3,HA1,Junior,Katie,NotKnox,Safely,SCounty,1-2BR Cabin,3-4BR,Blake,Kyle,Townsend Condo,Townsend,condo,2bdr,6guest,OB5/27/22; vrbo:2873095; airbnb:636017841824178324",25 %,17 %,4,13
111957,"Jay Hwang 920 (SCounty) -- Falcon's Lodge - Mtn View, Hot Tub, & Pool Table!",TRUE,TRUE,available,hostaway,190,193.0,95,,3,Sevierville,1-4BR Cabins / House,3-4 Bedrooms,"BlessedCleaningTyler,Group 1,HA1,NotKnox,Pet,Safely,SCounty,Summer,3-4BR,1-2BR Cabin,PF,3BDR,8guest,hottub,view,OB6/3/22,Top,Med 3-4BR; vrbo:2865704; airbnb:640441012930392789",63 %,50 %,11,18
112729,Dylan Robinson 3741 (PF) -- Sweet Tea Timber-Indoor Pool & Hot Tub!,TRUE,TRUE,available,hostaway,320,317.0,110,,4,Pigeon Forge,1-4BR Cabins / House,3-4 Bedrooms,"BlessedCleaningTyler,Group 1,HA1,NotKnox,PF,Safely,Summer,3-4BR,SCounty,1-2BR Cabin,4BDR,14Guest,Indoor Pool,games,OB6/11/22,Key,High 3-4BR; vrbo:2923705; airbnb:646133765234102800",82 %,67 %,3,3
